"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60","Sample61","Sample62","Sample63","Sample64","Sample65","Sample66","Sample67","Sample68","Sample69","Sample70","Sample71","Sample72","Sample73","Sample74","Sample75","Sample76","Sample77","Sample78","Sample79","Sample80","Sample81","Sample82","Sample83","Sample84","Sample85","Sample86","Sample87","Sample88","Sample89","Sample90","Sample91","Sample92","Sample93","Sample94","Sample95","Sample96","Sample97","Sample98","Sample99","Sample100"
"Feature11",0,0,0,69,51,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,403,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0
"Feature12",0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature13",0,0,0,0,0,0,6,10,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,1,0,75,0,0,0,0,0,0,5,0,0,0,143,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1482,15,0,0,6,11,0,0,0,27,27,534,0,0,4,0,0,0,0,225,0,0,10,0,0,0,0,0,0,0
"Feature14",11343,0,64623,3835,72,4864,0,11069,13862,0,0,59,10,1225,0,2221,0,28,84,23949,514,0,272,889,6863,0,15430,18,0,375,0,701,0,14741,2457,22083,83,60,0,80,41601,1388,14944,27416,0,13273,1240,219,45,39337,304,14286,2604,151,13423,34915,0,58609,799,2467,0,72,1215,0,13899,4975,0,3930,16,552,25616,2461,5303,307,0,49,16594,1132,4792,3282,7993,4887,0,169,52639,2,7137,9679,24569,1487,13,1100,2224,0,571,67443,0,132,869,53
"Feature15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature17",0,0,0,159,0,0,1489,136,1414,12,0,0,0,0,175,922,27,0,0,0,0,0,0,102,94,0,0,0,0,0,593,252,0,86,0,0,13,649,0,0,0,0,0,8275,0,0,0,11,0,238,0,0,0,0,303,0,0,0,0,0,0,0,1616,0,0,3475,131,0,100,0,0,0,0,0,19,0,1,240,0,0,0,29,0,939,0,39,0,0,0,0,0,0,0,2,0,174,1036,0,62,0
"Feature18",0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature19",0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,7,0,0,96,0,0,0,0,676,567,0,0,0,0,0,0,0,0,183,0,0,303,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,64,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,2139,0,81,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"Feature20",0,0,12,118,32,67,2021,27,4282,0,0,54,192,11,175,0,0,0,3,625,50445,0,11,2612,118,5744,0,47,217,0,308,60,5,23,4,331,141,7444,55,0,383,24,0,372,35,16,0,3,975,116,947,1922,128080,248,12,30,0,1531,0,0,0,48,0,3,575,316,9,18,15,56,0,0,0,24,0,0,0,9,102,44,0,0,0,1004,0,0,79,0,7,51149,409,31,182,19,0,2,97,113,6,94
"Feature21",0,0,0,0,0,0,21,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Feature22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature23",30697,4030,5993,4373,0,296570,660,2409,4651,47,426,311,123,829,40319,4749,5,272,24711,6808,2,2653,295,18761,498,21,110637,6,12,663,0,0,1161,3961,146,15337,0,2292,6619,37480,554,12541,0,1624,3696,0,646,7,12633,7,0,67,32779,4399,28944,3579,1315,187,28021,577,0,8671,5784,13114,1224,1681,13640,1522,180,3449,1044,29951,12329,0,3927,26390,54,50579,16984,256,0,0,644,33908,7921,0,18874,8875,0,5290,0,4075,168,50,1284,12348,1368,3261,1049,2876
"Feature24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature25",0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,14,0
"Feature26",0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature27",299,132,8,2,0,95,0,32,634,5,11,2,11,44,13,0,7,0,307,229,1744,122,0,1055,56,0,94,0,7,19,220,0,29,3,2,0,2,0,121,0,18,16,13,87,0,225,92,3,0,36,0,0,199,79,9,10,104,8,0,44,123,0,275,43,105,0,0,1,0,0,0,0,99,212,59,22,0,0,23,159,22,145,4015,182,0,0,0,144,2,0,78,11,0,0,13,83,0,28,0,2
"Feature28",4,5,0,0,0,0,14,0,2,0,0,0,0,0,0,1,2,0,0,0,3,0,0,21,0,12,0,0,0,3,0,0,0,69,0,0,1,0,0,1,0,0,0,0,0,0,0,0,190,0,7,0,0,0,0,0,0,0,17,10,0,73,5,0,0,0,0,0,44,0,14,109,0,0,0,0,0,9,4,0,10,0,3,40,5,0,1,0,1,0,0,0,0,0,0,3,15,0,4,0
"Feature29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"Feature30",0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,15,23,0,6,0,0,0,48,0,0,0,0,2,21,0,0,0,0,0,0,12,0,2,0,0,0,19,0,2,0,0,0,0,0,76,0,0,0,0,0,0,0,292,0,0,15,0,0,0,310,15,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
"Feature31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,11,16,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,12,0,32,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,3,0,0,0,2,12,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Feature32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature33",612,0,0,0,0,0,0,0,1641,0,0,0,144,35,217,478,28,5,0,0,330,0,2,0,0,1024,0,0,0,0,0,0,179,60,0,248,13,0,519,0,0,23,0,0,105,0,0,0,208,61,0,0,0,0,76,121,10090,0,72,0,64,198,0,0,0,477,0,33,0,0,487,161,0,0,0,0,0,0,0,0,109,109,1417,6270,0,231,0,0,0,0,0,87,0,0,0,159,0,0,29,0
"Feature34",0,0,70,0,5,175,739,8,0,3,8,1,0,0,41,0,2,0,61,333,40,0,1,534,0,2,0,2,1,145,0,121,0,0,0,5,0,0,0,137,0,0,10,766,39,17,10,3,0,0,0,52,1,0,0,2,0,3,12,10,72,0,0,0,7,229,2,0,16,5,95,0,2254,0,1,0,0,25,0,0,67,1,0,23,38,0,39,0,0,1006,0,8,404,0,24,89,12,0,1,0
"Feature35",891,874,129,75,906,0,22800,45,3624,11,14801,0,280,0,3245,0,0,43,1927,67,2,1094,0,0,314,193,407,1,270,49,5224,0,506,68,163,195,13,37,17172,37253,0,13,0,0,5,13901,9754,62,12344,1325,16,806,14671,38,1440,238,5392,1498,2036,25278,2317,3446,206,17,608,0,38,911,43493,400,410,0,5497,238,18,0,41,96,0,26158,10,160,0,31956,9311,30,37,1988,0,1468,251,2875,169,8,35,51,2740,6,605,15
"Feature36",0,0,3,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,6,0,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,3,0,0,0
"Feature37",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"Feature38",1199,61,2,5,25,1382,18,0,747,71,85,85,1140,511,623,3957,0,0,135,625,52,250,16,389,165,137,844,0,107,0,529,3424,647,0,0,713,0,587,0,163,130,14,8677,34611,284,25998,109,485,249,89,567,666,9,20,0,22,625,302,549,0,0,13587,0,0,1798,0,2,36,76,0,18,149,598,901,101,1540,0,1071,194,16,16,233,22,62,127,0,1,88,3,6,663,76,307,0,104,79,2460,89,225,0
"Feature39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"Feature41",0,0,0,117,514,275,2021,55,500,1651,9,0,338,0,408,150,18,0,12,254,653,113,4,8832,133,3913,1750,3,3,7301,2071,41285,433,313,7,417,33,261,61,0,98292,55,44,36982,497,6319,33,0,10918,4784,0,22,413,7556,850,21,416,21,655,175,27,640,27595,0,192,86,3349,59,916,485,570,1014,1562,8150,1734,122,2,3373,0,1340,19,44,777,814,0,10,6,141,40,1771,413,7,1038,2,356,349,10440,865,1138,2
"Feature42",0,0,0,0,0,0,0,2,38,0,3,0,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Feature43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1391,0,114,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature45",0,0,0,0,0,0,0,0,43,0,0,0,1,0,0,0,0,0,36,0,0,0,2,24,37,0,0,0,0,0,0,0,0,8,0,3,0,0,218,0,0,2,0,479,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,27,0,0,288,0,4,0,0,0,0,27,0,0,2,0,30,0,0,0,0,0,21,0,0,0,0,1,0,0,0,19,0,17,0,3,0,4,0
"Feature46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,415,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
"Feature49",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,565,0,0,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,8,0,0,0,0,0,3,0,0,1438,0,0,0,0,4,0,0,10,0,0,0,0,54,0,0,0,0,0,0,0,0,53,0,5,0,1,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,5,0,0,0,0,0
"Feature50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature51",0,0,0,0,0,0,0,0,0,0,921,0,0,0,113,0,0,0,0,0,0,0,11,0,0,0,1177,0,0,0,0,5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,320,0,0,11,0
"Feature52",0,0,0,0,0,0,1298,0,0,0,0,0,2,0,0,0,1415,272,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,29,0,0,0,0,0,0,624,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,519,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1
"Feature54",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature55",9,38,0,0,7,49,0,5,0,0,0,0,0,8,0,1,0,0,0,48,0,0,0,6,0,220,0,0,0,0,31,2,0,0,0,6,0,0,0,0,9,0,0,19,0,17,2,0,139,0,2,0,47,2,6,0,0,5,43,4,1,0,23,0,0,1,0,0,0,0,0,9,0,47,0,0,0,0,0,14,5,0,0,0,0,1,15,0,0,0,0,0,1,0,35,10,3,0,0,0
"Feature56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,0,20,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
"Feature58",0,0,0,0,4,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"Feature59",0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature60",0,0,0,188,0,269,475,217,0,0,693,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,1,8111,0,0,0,0,55,1,0,0,0,1859,0,0,0,0,45,0,1,0,0,1271,0,0,0,2,0,0,5,0,2,0,0,955,0,55,0,0,10955,3,0,0,21,92,0,0,1828,0,45,0,0,0,0,37,0,2453,82,0,0,0,62,37,0,0,0,0,0,1,0,7,0
"Feature61",0,0,3,0,41,0,107,0,721,5,0,68,7,0,0,0,0,0,2382,0,0,7,0,0,0,0,0,15,0,65,221,0,11,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,0,0,0,3,0,0,134,0,0,0,0,0,0,0,0,0,0,126,0,5,0,0,0,0,220,0,0,0,0,0,986,0,0,398,0,0,0,0,0,0,0,608,0,0,0,817,0,0,681,0,0
