,S118,S121,S126,S127,S137,S141,S143,S146,S153,S155,S158,S187,S193,S194,S195,S198,S205,S224,S225,S231,S235,S244,S248,S258,S263,S264,S268,S269,S286,S288,S297,S334,S344,S353,S365,S370,S378,S380,S381,S389,S398,S421,S422,S424,S434,S436,S439,S446,S451,S456,S458,S462,S463,S468,S470,S475,S476,S478,S479,S483,S484,S495,S497,S517,S524,S526,S529,S53,S530,S536,S543,S550,S551,S552,S561,S563,S577,S58,S584,S587,S589,S59,S591,S598,S602,S604,S614,S617,S618,S628,S643,S655,S77,S80,S88,S92
s__Megasphaera_elsdenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386290,0,0,0,0,0,0,0,0,0,0,0,0
s__Dialister_invisus,1412991,827400,2411487,0,11336,624025,2104692,0,0,1146908,1754035,1930938,4253890,0,1956877,1187379,1100355,306410,0,878,1146332,1145596,35482,1326502,0,903056,214681,1562699,439393,23409,415249,72457,941856,1585522,1378462,593656,32469,0,0,2862511,2732959,0,1017192,7806,0,1632,1979217,207624,972632,72457,689941,878,490383,310084,361492,2251,2849874,1682217,0,2677520,2865073,0,0,2010267,2747143,35036,3778453,490383,0,1989544,0,1137,2767854,306024,568,2777283,584687,0,1234461,0,2566644,0,0,1003652,894537,4471,550368,227712,490383,306024,16234,72457,0,7806,0,7806
s__Dialister_succinatiphilus,0,0,0,12528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301312,0,0,427826,0,0,0,0,0,0,0,0,0,503206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681416,0,0,0,0,0,0,0,0,0,0,581683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Veillonella_atypica,0,2751,0,0,0,0,0,6001,0,5352,0,4491,0,0,0,10269,4406,11807,0,0,0,0,464,0,0,0,0,0,0,325,0,0,0,45974,0,0,5021,397,0,0,0,0,10496,0,596,0,642,0,0,0,0,0,0,38436,0,0,5533,0,0,0,0,0,2636,31935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,10099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Veillonella_dispar,0,714,0,0,0,0,0,14993,0,6948,0,867,0,0,0,880,0,0,0,0,0,0,1952,0,0,0,0,4102,0,0,0,0,0,5826,0,10579,8334,0,0,0,0,0,10004,0,0,0,0,0,0,0,0,0,0,4736,0,0,1281,0,0,894,0,0,5548,6933,0,3827,0,0,0,0,0,0,1032,0,0,0,0,0,0,452,37344,0,0,0,0,0,308,0,0,0,226,0,0,0,0,0
s__Veillonella_parvula,8340,40429,0,5751,0,0,4325,29995,607,55481,0,34854,7046,732,925,33106,4070,17255,1016,3822,4335,1556,7035,1850,0,285,12449,5788,925,0,0,0,1850,49469,285,2044,51726,0,10761,3517,12292,0,296300,0,0,508,9577,303,2206,0,4749,3492,0,59895,508,5306,51909,15802,2453,63770,732,1734,30805,74431,0,33211,0,925,1051,0,3567,4442,8640,0,0,0,1464,7046,2736,416,120144,8607,2544,23020,4197,60607,462,285,2736,0,3764,0,2352,2044,2736,72961
s__Butyricicoccus_pullicaecorum,0,0,0,0,0,0,0,0,366,0,0,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,652,0,0,0,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Oscillibacter_sp_KLE_1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Oscillibacter_sp_KLE_1745,0,0,0,0,0,0,0,0,0,0,120917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115499,0,0,0,0,0,0,0,0,0,0,0,0,0,112982,120498,0,0,0,0,0,0,0,0,274955,0,0,0,0,0,0,0,0,0,0,0,0,0,141075,0,0,0,0,0,0,0,0,0,0,0
s__Ruminococcaceae_bacterium_D16,315,2245,1005,458,559,3726,919,1038,2081,4665,73208,15699,490,277,3522,1478,292,277,4961,0,603,5526,142366,436,35817,3662,16636,8235,438,381809,1478,831,389,463,0,1198,831,2573,1097,218,409,2243,2415,298848,716,3887,2734,138,984,67144,1114,830,1452,2263,4195,291,2258,1039,1597,4155,1207,42188,458,0,1564,3093,2112,173,96,919,147,474,5180,31799,488,26596,2415,2245,13736,430,436,559,2258,5519,1641,244,8474,0,1478,458,199,919,447,2659,6697,726
s__Pseudoflavonifractor_capillosus,306,5289,1249,1206,715,432,4557,613,337,852,8396,14678,4727,537,2768,4963,153,537,455,268,263,306,0,337,526,5995,2254,1767,3871,12407,1577,0,0,1003,732,1510,493,323,323,0,3936,390,307,19311,3040,3839,2347,2645,4299,18503,2025,2816,158,123,1748,153,272,6460,0,6469,1430,3456,500,0,1852,9093,0,6910,0,0,998,0,11623,6978,0,0,4119,1480,246,0,474,613,998,8456,1577,161,736,474,337,1852,1978,158,474,2931,4821,202
s__Lachnospiraceae_bacterium_7_1_58FAA,7813,15941,266142,2667,10556,2267,5378,651,2957,4239,8878,68275,417841,11456,13952,65238,1979,2431,10257,45613,7252,6040,3646,2292,18139,6210,3002,5005,4416,34127,2995,1577,44799,1670,34683,7723,4159,1955,5620,1252,11022,17003,11399,49247,51515,31394,21091,29760,5057,83020,11895,16068,2428,6888,3011,5649,4170,4053,942,18379,21080,44034,7961,1822,3026,43091,166936,5513,1896,6026,18119,339,96537,37306,17977,21530,10130,7616,54583,9311,6847,3942,132396,9921,13280,5312,7658,5508,3690,4979,5589,98,6935,5433,5695,257
s__Flavonifractor_plautii,0,3224,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,1950,1719,1704,1903,0,0,0,0,0,52839,0,0,26201,0,0,497,0,0,0,0,3058,3273,0,2801,9383,0,16277,0,530,9113,0,1457,292,0,0,0,0,0,0,2994,44584,14537,0,0,0,4089,2151,0,0,0,1727,0,11548,0,153654,0,0,0,237,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0
s__Ruminococcus_bromii,2363367,817254,4491387,2197839,1419247,1221738,2831340,2344645,2905563,133197,2837719,118376,230778,1365119,18820,4890024,1332277,982952,133197,67086,892965,2264783,336560,2437531,4831375,1699558,713669,2054163,916889,177690,101907,3635312,2302585,1323389,1016068,2056335,4457430,2506404,2775234,1709940,1485107,3702378,19585,7463571,7265752,6411,663,110141,142,81601,3619530,439548,5133335,12707,32097,343180,3223923,7170,3638531,472,917273,1617777,4473065,3792145,3042173,541577,367,1953806,4548246,4280873,817254,11945,1652733,2814086,6364821,2679704,1779127,3391011,612809,1146338,3672504,6149720,1398159,4534095,7578,1693220,1464681,1877,1079977,617625,174137,825331,1531203,1759920,2035657,1185
s__Clostridium_leptum,10238,25433,7332,828206,12591,2952,5859,10581,14527,159211,27204,13354,26911,5889,97227,12430,47157,60535,10735,43912,543250,9648,9272,19665,8473,3357,11224,7443,2942,73605,2095,42371,42512,2666,9619,8357,1961,48248,16796,6366,99791,26383,18675,16166,18743,11564,28636,29165,42952,23195,48868,4318,46754,12092,882,8303,3904,32486,12087,17475,7082,207371,47779,8507,31809,165549,72664,9895,24356,43986,8377,97673,39108,26652,11982,13075,5306,144641,56188,10459,15812,6165,9556,18360,14700,16066,20104,13354,56226,17666,8021,84419,3970,6441,14602,15336
s__Anaerotruncus_colihominis,826,0,0,0,0,1975,3095,0,0,0,0,0,0,0,2189,0,1819,0,3280,0,0,78,0,352,2993,0,157,3134,0,0,0,381,6925,78,0,10115,0,0,0,1652,0,13031,2102,3897,4153,1010,7437,0,53335,13459,0,0,149,0,0,176,10701,78,0,2775,5184,0,0,0,74,1051,7306,2020,0,6290,2902,0,30204,0,4545,604,0,33060,604,0,352,0,5905,0,3347,0,176,0,2344,0,0,1536,0,0,0,871
s__Subdoligranulum_sp_4_3_54A2FAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88900,0,0,0,0,0,0,0,72139,0,0,0,0,0,0,66269,0,0,0,0,0,0,0,0,0,0,0,0,0,199593,0,0,241397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522036,0,0,0,0,0,0,0,0,221711,0,0,279794,0,0,0,0,0,72731,0,0,0,0,0,0,0,0,0,0,0,0
s__Faecalibacterium_prausnitzii,1169731,3162050,986563,3940520,257611,2325458,1812584,3131033,6997189,10358709,1095187,7740789,2493661,2589333,3341337,10505272,150058,472619,4224081,315247,1466645,1100179,1411907,1594088,421140,1186904,3879605,837666,1794164,590864,1527546,244964,665459,1882670,240303,1906364,1095257,2443313,1433135,2801511,1526678,1512101,3425703,1591538,6249235,1896938,2035649,1236555,1299005,5684589,5686708,6461579,1353694,6666996,2344630,543409,11320955,8970544,2849653,7658401,2406433,2729933,4278318,2495206,1089140,1330697,2711446,1742982,7410330,2568984,4529856,85607,8645202,2911174,10933,3509019,2362665,218707,5145501,3658154,5313730,1565501,4640956,1411907,4266579,629403,2397318,1710665,1073198,1530994,1158394,964935,4897708,2354269,1659801,1520963
s__Subdoligranulum_variabile,1107,1589,1418,425,0,1810,749,1089,4466,2659,1814,2403,3099,498,7262,2568,374,371,2218,371,6706,499,138,2422,1730,1066,660,1107,995,69,749,738,753,2653,2880,1724,745,2092,1144,1198,338,3594,5432,1730,5853,296,753,629,3360,38264,13534,253,2022,3361,2310,1148,2126,1166,1651,4121,2585,2438,2351,3669,3508,2424,1779,4616,1602,2227,2438,0,7348,3666,930,2703,1819,2738,7848,1908,3905,425,2281,2533,749,0,2722,213,2022,1730,106,1107,50848,1071,91193,560
s__Clostridium_methylpentosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18135,0,0,0,0,2134,0,0,0,0,5094,0,0,0,0,0,0,0,9179,0,4272,2118,0,0,0,655,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,5238,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0
s__Eubacterium_siraeum,17241,156100,2023144,32331,270702,4239,42067,42927,857329,185977,51587,6373228,1912814,571902,3086975,77753,9869,66329,84055,94080,81890,13686,35791,153652,10129,85683,36846,17241,5818,75102,12248,6941,6941,16379,69290,16266,724913,19463,513203,33988,50974,16923,1755487,206970,86415,115817,632351,2788438,96785,14383,167299,174639,59241,12167,26568,153367,2382,126287,393361,2403327,138043,790,45222,104201,304380,638805,35791,459426,42164,7569,14383,2142,283884,1804839,20823,30564,132456,84200,4872,447669,32331,698008,169145,70288,84055,9999,572238,791631,3818,26067,486358,10406,514133,66392,1003511,7032
s__Ruminococcus_albus,566,726,3324,123,179,1238,669,2198,123,7331,22689,119,0,728,1493,11113,132,1218,4945,615,4751,0,2939,132,0,726,2402,0,1002,89,4452,1899,1002,141,0,0,0,0,1230,612,1971,27391,2402,0,0,0,612,238,501,11491,0,13541,1899,2568,738,3115,10701,2937,0,141,6947,3612,0,0,2053,15566,566,0,1452,6694,726,0,22587,2680,0,492,6885,283,5211,0,5415,179,372,2680,9109,0,0,0,927,2053,0,1899,0,2894,179,0
s__Ruminococcus_flavefaciens,174,6025,0,0,0,246,24947,0,0,280,3785,10174,0,0,245,0,0,0,1002,0,328,0,0,0,0,2523,242,0,10555,0,0,0,0,239,0,0,0,0,0,87,895,4075,578,0,1030,1092,0,122,259,1183,0,0,0,5421,0,0,492,288,0,263,1072,1779,3851,9410,0,865,529,0,0,306,292,0,495,0,0,146,473,0,4617,19329,1755,0,292,898,3432,0,0,0,0,0,4479,0,74265,0,0,0
s__Ruminococcus_champanellensis,0,0,0,0,0,0,0,0,0,0,0,463889,0,55716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268312,0,65883,0,0,0,0,0,0,0,0,0,0,0,0,353740,0,0,0,0,0,0,43781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Ruminococcus_callidus,0,289852,0,106945,0,81751,149,5039,305388,143233,0,82388,183238,63595,0,92464,149,0,5039,95,22179,0,568395,295059,0,488,1445,0,9915,0,0,0,131709,2890,0,0,4011,1454,77830,7009,82375,661559,2082752,0,0,0,0,72991,6402,537402,175948,4011,0,27834,212663,512,190177,3504,100498,0,0,48069,0,1454,0,0,138238,0,490167,0,2716626,0,44359,0,0,1429,978,0,77997,0,317142,1956,1404,299,71039,0,0,190,5183,0,85631,299,3293,5039,5039,95230
s__Clostridium_symbiosum,0,0,0,0,0,0,53,0,2879,0,10504,0,0,0,4669,0,15344,0,0,133,0,13695,1633,225,16661,0,308,4067,0,0,0,1450,6036,308,0,2179,0,0,0,6774,1014,18452,0,11131,0,0,217537,0,91330,0,0,0,616,0,0,1157,0,0,0,7293,4164,2404,0,0,3034,66,8751,0,0,7080,0,0,0,0,125180,106,0,18549,0,533,0,0,0,0,5227,3675,0,0,616,0,960,0,0,0,0,66
s__Clostridium_hathewayi,88,552,44,0,0,973,15881,44,0,1109,2589,56,5374,0,9264,113,3599,0,0,0,2384,57208,241781,1956,173368,0,863,1796,247,2680,0,803,6078,832,1238,9139,1179,0,1463,1922,2194,1999,1039,803,2813,740,49025,1980,32853,7924,56,0,924,0,0,2082,1834,2285,0,5004,2476,246120,44,88,339,51770,4336,509,0,2520,552,1859,10784,0,25718,0,0,213799,509,0,509,3516,795,100,2979,22018,1039,0,924,381,1555,924,0,6618,13887,981
s__Clostridium_asparagiforme,259,0,0,0,0,4117,0,0,560,0,12121,678,0,0,4922,0,1160,0,563,0,3661,9449,595,749,862,0,160,749,321,5877,0,0,7692,648,0,2359,0,429,214,259,314,7862,4689,5969,16312,3260,71486,9132,7320,23247,274,0,274,427,0,326,0,290,351,5506,15118,9670,0,259,13874,5098,1406,426,0,0,653,260,12043,0,19359,0,0,862,426,214,1636,0,33364,0,620,17962,5314,0,434,0,0,1206,430,0,0,130
s__Clostridium_bolteae,0,0,0,0,0,2758,677,0,0,0,524722,0,0,0,305094,0,102918,0,1158,0,115,58390,1488,8746,160380,0,496,4805,219,51681,0,555,86698,219,0,7006,0,681,0,579,4603,243873,2476,171563,156302,579,1806851,136600,17267,492796,1096,0,681,340,0,3994,0,868,888,29748,28906,109906,0,579,438,283749,87589,0,0,8037,5126,75788,2244,0,646763,1938,0,148129,1938,340,438,0,458140,0,2387,452765,1604,0,4572,219,0,681,0,0,0,235650
s__Clostridium_clostridioforme,0,0,0,0,0,0,0,0,0,0,5583,0,0,0,0,0,24911,0,0,0,334,12218,0,6901,0,0,0,0,1253,0,976,0,4953,0,0,702,0,0,0,0,0,4547,0,0,152,0,153457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0,0,0,0,0,2057,0,181285,0,0,4870,4970,0,0,0,0,0,0,0,0,0,1247317,0,0,0,0,0,0,0,0,0,0
s__Clostridiales_bacterium_1_7_47FAA,0,0,0,0,0,0,137,0,0,0,6952,0,0,0,1563,0,497,0,0,0,0,11322,0,0,9905,0,0,0,0,5381,0,0,3235,0,0,1831,0,0,0,0,1144,1210,2649,0,767,0,60897,0,8684,0,905,0,0,0,0,0,0,0,0,0,9475,1597,143,0,0,0,6233,0,0,0,809,8864,0,0,30507,0,0,0,0,0,0,0,9215,0,0,45426,0,0,0,0,0,0,0,0,0,0
s__Clostridium_citroniae,0,0,0,0,0,366,125,0,0,0,3227,0,3305,0,403,0,6781,0,0,0,289,2392,0,336,0,0,0,242,0,0,0,0,977,0,0,0,0,0,0,3531,3987,5495,2003,0,5812,0,14499,0,94372,3728,703,0,471,0,0,0,471,121,0,333,1002,1880,0,0,1473,0,1392,2551,0,977,1880,742,1522,0,2747,0,0,0,336,0,242,0,5704,62,2341,87388,225,0,725,0,0,0,121,1678,0,208
s__Oribacterium_sinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Coprococcus_catus,54030,130605,198839,82499,50410,101260,130399,176316,197527,157239,199246,158280,175799,103094,226433,231695,124156,61976,92767,310213,180979,98505,125418,124156,98022,44711,161310,124156,6828,87914,89882,138952,61976,382142,125935,179418,193037,164495,176235,464324,44798,316580,230799,52599,149025,132961,124156,33674,403813,311322,269961,182219,212291,114636,47579,106389,158452,317173,838037,194224,293444,150958,69328,92364,307482,154840,481225,81568,175569,552576,100878,108,127952,38898,67799,348988,27468,254446,241262,268692,214892,68884,68056,117622,254302,84241,37094,44586,50357,61357,44885,45222,112763,45500,55794,152396
s__Butyrivibrio_crossotus,0,348014,0,6129613,131647,0,281,0,183630,0,0,2962799,801313,8938102,0,0,0,1288611,0,287547,0,0,0,0,0,0,0,0,1959,0,6938,0,0,0,37284,0,4120380,0,0,0,0,0,10699,0,0,0,0,2201043,0,219708,0,7196426,0,130429,467595,728,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,3469,0,599399,0,0,368375,0,0,0,0,0,206719,0,0,0,0,884299,0,3599215,0
s__Eubacterium_eligens,354473,318586,150874,315463,25464,1364765,358081,15542,157810,770384,259839,663578,168341,1304,4922,854687,10963,565723,174915,20819,148641,83687,666013,49028,2302,146041,121387,39520,17593,33562,263338,551,67774,638269,112267,353879,467816,30960,208003,373981,432436,996733,1492223,109286,1120231,260681,23730,512290,12289,213608,139511,296318,64240,99094,28054,581957,3097345,225770,240272,245493,2055352,114435,691324,1903693,302626,683480,95230,567593,33831,11381,735738,5494,153990,104952,36541,226744,1174814,15058,9336,45988,32133,380718,1580725,216817,95230,8233,23730,230070,190150,298465,515805,45791,2090407,292213,23204,5503
s__Bacteroides_pectinophilus,0,0,0,0,0,0,0,0,0,0,0,580797,0,726064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57765,0,0,0,0,0,4351,0,0,0,0,46528,0,0,0,3608338,0,0,95573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Eubacterium_ventriosum,139751,208053,243002,24812,5238,156242,165446,421699,4416,132330,120752,90999,25464,94734,60517,172280,97504,70140,82369,74294,0,534,885,58758,197403,36699,158535,58758,3329,3061,1439,40395,130,154486,1132,27965,9670,208507,318350,31043,45329,158174,279321,402389,373173,146684,130,31953,139507,152524,72361,94390,131180,15001,56494,1457,32514,29782,182718,173909,232010,169526,197403,238196,200956,9774,417023,131180,11455,67276,34157,65,58758,73165,65,422142,9974,68915,316091,8256,47675,17372,342276,270958,92866,12732,30755,78449,137006,43326,2910,134728,1637,47675,1570,149031
s__Clostridium_sp_L2_50,0,550000,0,0,0,0,0,0,0,5053872,1841543,347682,0,0,0,0,0,611721,2751160,0,0,0,0,0,0,360972,912919,0,0,0,0,0,0,0,221903,0,321582,0,0,0,0,0,0,0,3823283,0,0,0,0,0,923418,0,0,718602,519407,0,885720,2062318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2570740,0,0,0,4382551,0,0,0,0,0,0,0,0,0,0,0,2148891,0
s__Coprococcus_eutactus,0,0,280143,0,192616,0,0,0,864,0,0,470,1023324,0,0,0,0,0,0,0,0,0,0,0,293812,0,0,0,5671,0,10266,0,0,0,0,214,0,0,0,0,0,0,1745,0,0,1595832,0,660,0,0,0,0,0,0,21158,2885696,0,0,0,0,0,0,0,17978,0,0,0,0,573,0,0,6582,0,661,0,0,920,0,522425,0,481286,0,0,720,0,0,0,0,0,678207,0,0,0,0,0,0
s__Coprococcus_sp_ART55_1,1158139,623642,0,805814,0,0,1773507,0,5621914,0,0,1313309,0,0,288824,2791419,0,0,0,0,0,0,0,0,0,69288,741665,0,0,0,474784,440997,0,882125,0,8987860,74290,0,497944,0,0,220498,3955746,0,0,0,0,2089987,0,1184119,339553,0,0,0,0,0,0,0,2083701,0,0,0,2044358,0,0,0,0,0,3875504,0,1334980,0,0,2072330,0,0,3243304,0,0,114962,0,1188252,0,3389596,0,0,0,0,73534,0,229925,0,346601,1680371,0,0
s__Eubacterium_hallii,567653,451470,375429,233740,64000,484049,684639,195938,656262,290364,839394,629370,611004,61507,1955302,388271,246060,161435,1010741,1466908,755458,422610,546071,1352867,307010,147632,256402,821009,410618,1157360,212765,480466,991452,344033,413210,430030,154151,506701,189974,1742970,672581,1477727,1089372,524661,2422173,306664,404776,241610,248258,977067,1763753,386778,567855,355013,240038,501135,342031,601151,1223598,1159951,1172351,1459987,627926,191740,1013376,416391,1093490,1035109,807200,1968265,1035867,490091,1673585,132079,260712,1256938,171344,1508967,310985,447866,1000606,397193,1164738,397207,876023,231378,541810,152713,339876,289455,115796,231620,537566,174270,182438,247539
s__Anaerostipes_caccae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Lachnospiraceae_bacterium_5_1_63FAA,3428,13348,96937,9888,3317,26521,10550,94533,86141,15261,2962,24865,30030,8219,145682,18136,3312,13036,5720,12909,30131,17817,6759,66329,417759,6221,86209,93095,49839,195253,76809,10008,59575,83132,79239,9313,21127,33233,17107,166967,45992,1824002,62619,107741,31987,40973,142593,12415,189196,202475,35097,23531,133209,2446,50773,12856,53769,27819,125937,36807,25376,74072,174424,30738,69274,370412,18129,47468,10404,41581,547009,209033,517324,4582,115013,40007,9731,72279,36376,10870,17347,13963,347775,24353,459748,1589546,104374,11479,31289,16242,5910,50357,182322,4865,6030,13553
